iso_code,continent,location,total_cases,total_deaths,new_deaths,icu_patients
PAK,Asia,Pakistan,1522191,30331,2,
PLW,Oceania,Palau,3945,6,0,
PSE,Asia,Palestine,654380,5628,0,
PAN,North America,Panama,761508,8156,3,
PNG,Oceania,Papua New Guinea,41533,639,0,
PRY,South America,Paraguay,647099,18586,9,
PER,South America,Peru,3540793,211814,63,
PHL,Asia,Philippines,3674286,58263,240,
POL,Europe,Poland,5891140,114218,12,
PRT,Europe,Portugal,3458727,21408,66,66
QAT,Asia,Qatar,359956,677,0,
ROU,Europe,Romania,2816039,64685,16,630
RUS,Europe,Russia,17327694,357234,422,
RWA,Africa,Rwanda,129647,1459,0,
SHN,Africa,Saint Helena,4,,,
KNA,North America,Saint Kitts and Nevis,5548,42,0,
LCA,North America,Saint Lucia,22884,365,0,
SPM,North America,Saint Pierre and Miquelon,1693,1,0,
VCT,North America,Saint Vincent and the Grenadines,8326,106,0,
WSM,Oceania,Samoa,111,,,
SMR,Europe,San Marino,14870,112,0,
STP,Africa,Sao Tome and Principe,5941,73,0,
SAU,Asia,Saudi Arabia,749597,9028,1,
SEN,Africa,Senegal,85827,1964,0,
SRB,Europe,Serbia,1955280,15687,11,42
SYC,Africa,Seychelles,39797,163,0,
SLE,Africa,Sierra Leone,7674,125,0,
SGP,Asia,Singapore,1015017,1198,4,20
SXM,North America,Sint Maarten (Dutch part),,,,
SVK,Europe,Slovakia,2351701,19110,17,230
SVN,Europe,Slovenia,936847,6442,7,71
SLB,Oceania,Solomon Islands,9851,127,0,
SOM,Africa,Somalia,26410,1361,0,
ZAF,Africa,South Africa,3704218,99881,2,
OWID_SAM,,South America,55598357,1271606,290,
KOR,Asia,South Korea,9582815,12757,329,1244
SSD,Africa,South Sudan,17093,138,0,
ESP,Europe,Spain,11324637,101703,287,571
LKA,Asia,Sri Lanka,658197,16431,5,
SDN,Africa,Sudan,61775,4888,14,
SUR,South America,Suriname,78946,1323,0,
SWE,Europe,Sweden,2475687,18053,59,46
CHE,Europe,Switzerland,3268953,13423,95,137
SYR,Asia,Syria,55558,3127,2,
TWN,Asia,Taiwan,21905,853,0,
TJK,Asia,Tajikistan,17786,125,0,
TZA,Africa,Tanzania,33773,800,0,
THA,Asia,Thailand,3377410,24334,88,
TLS,Asia,Timor,22801,129,0,
TGO,Africa,Togo,36878,272,0,
TON,Oceania,Tonga,3232,2,0,
TTO,North America,Trinidad and Tobago,135097,3712,4,
TUN,Africa,Tunisia,1029762,28065,0,
TUR,Asia,Turkey,14693917,97267,85,
TCA,North America,Turks and Caicos Islands,5874,36,0,
UGA,Africa,Uganda,163688,3595,0,
UKR,Europe,Ukraine,5040518,112459,0,
ARE,Asia,United Arab Emirates,887732,2302,0,
GBR,Europe,United Kingdom,20154286,163658,125,292
USA,North America,United States,79734788,971162,75,3450
OWID_UMC,,Upper middle income,123063399,2476144,1131,
URY,South America,Uruguay,875313,7138,4,
UZB,Asia,Uzbekistan,237476,1637,0,
VUT,Oceania,Vanuatu,753,1,0,
VAT,Europe,Vatican,29,,,
VEN,South America,Venezuela,519670,5668,2,
VNM,Asia,Vietnam,7958048,41880,63,
WLF,Oceania,Wallis and Futuna,454,7,0,
OWID_WRL,,World,470736464,6077531,2971,
YEM,Asia,Yemen,11801,2140,0,
ZMB,Africa,Zambia,315623,3962,0,
ZWE,Africa,Zimbabwe,244452,5426,0,
